TEAM_ID,TEAM_NAME,SEASON,NET_RATING,PACE,TS_PCT,EFG_PCT,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT
1610612747,Los Angeles Lakers,2000-01,13.4,93.45,0.542,0.505,17.1,0.356,0.718,0.541,0.149
1610612755,Philadelphia 76ers,2000-01,-0.1,88.1,0.498,0.445,15.9,0.352,0.693,0.516,0.14
1610612747,Los Angeles Lakers,2001-02,3.9,92.41,0.527,0.482,15.4,0.319,0.683,0.506,0.148
1610612751,New Jersey Nets,2001-02,-0.2,93.77,0.503,0.457,16.2,0.314,0.698,0.5,0.15
1610612751,New Jersey Nets,2002-03,3.5,91.37,0.506,0.453,16.4,0.339,0.732,0.531,0.164
1610612759,San Antonio Spurs,2002-03,5.8,92.25,0.525,0.476,16.2,0.314,0.704,0.517,0.164
1610612765,Detroit Pistons,2003-04,7.4,87.67,0.493,0.439,15.6,0.335,0.706,0.522,0.167
1610612747,Los Angeles Lakers,2003-04,0.4,87.78,0.508,0.477,18.3,0.277,0.694,0.486,0.142
1610612765,Detroit Pistons,2004-05,5.2,86.2,0.508,0.466,16.7,0.335,0.711,0.518,0.14
1610612759,San Antonio Spurs,2004-05,4.9,88.03,0.546,0.5,15.0,0.352,0.674,0.516,0.163
1610612742,Dallas Mavericks,2005-06,4.4,90.06,0.54,0.481,12.6,0.322,0.742,0.525,0.14
1610612748,Miami Heat,2005-06,3.5,91.35,0.559,0.525,14.5,0.284,0.735,0.52,0.169
1610612739,Cleveland Cavaliers,2006-07,1.8,86.62,0.506,0.456,14.7,0.317,0.73,0.522,0.148
1610612759,San Antonio Spurs,2006-07,4.3,89.75,0.547,0.508,16.3,0.29,0.684,0.492,0.155
1610612738,Boston Celtics,2007-08,5.9,87.29,0.541,0.487,17.6,0.335,0.699,0.519,0.147
1610612747,Los Angeles Lakers,2007-08,2.6,93.82,0.56,0.512,16.4,0.267,0.681,0.482,0.141
1610612747,Los Angeles Lakers,2008-09,8.2,92.12,0.553,0.508,15.4,0.303,0.692,0.501,0.141
1610612753,Orlando Magic,2008-09,2.0,89.56,0.555,0.513,15.7,0.264,0.718,0.494,0.145
1610612738,Boston Celtics,2009-10,2.7,89.78,0.539,0.491,17.2,0.282,0.706,0.497,0.154
1610612747,Los Angeles Lakers,2009-10,4.3,90.85,0.546,0.502,15.6,0.347,0.684,0.516,0.137
1610612742,Dallas Mavericks,2010-11,6.0,88.06,0.571,0.519,16.7,0.296,0.683,0.494,0.145
1610612748,Miami Heat,2010-11,3.0,87.02,0.542,0.485,14.1,0.304,0.7,0.508,0.158
1610612748,Miami Heat,2011-12,7.4,88.59,0.552,0.505,14.6,0.3,0.689,0.5,0.145
1610612760,Oklahoma City Thunder,2011-12,4.5,91.98,0.558,0.508,14.8,0.264,0.719,0.494,0.126
1610612748,Miami Heat,2012-13,6.8,88.16,0.559,0.518,16.9,0.289,0.672,0.487,0.147
1610612759,San Antonio Spurs,2012-13,7.9,90.73,0.547,0.511,17.2,0.277,0.708,0.502,0.138
1610612748,Miami Heat,2013-14,2.3,86.98,0.594,0.555,16.1,0.223,0.718,0.476,0.14
1610612759,San Antonio Spurs,2013-14,10.2,93.55,0.583,0.546,17.5,0.263,0.723,0.505,0.134
1610612739,Cleveland Cavaliers,2014-15,4.4,91.47,0.524,0.479,14.2,0.327,0.728,0.527,0.139
1610612744,Golden State Warriors,2014-15,8.2,95.13,0.55,0.521,18.3,0.285,0.707,0.501,0.152
1610612739,Cleveland Cavaliers,2015-16,9.5,91.4,0.573,0.544,16.8,0.307,0.745,0.528,0.137
1610612744,Golden State Warriors,2015-16,4.5,97.83,0.562,0.529,17.9,0.275,0.676,0.482,0.143
1610612739,Cleveland Cavaliers,2016-17,8.1,96.89,0.614,0.579,16.9,0.269,0.704,0.497,0.135
1610612744,Golden State Warriors,2016-17,12.9,100.68,0.608,0.567,20.0,0.278,0.732,0.522,0.135
1610612739,Cleveland Cavaliers,2017-18,-2.8,92.13,0.55,0.512,15.3,0.289,0.744,0.513,0.136
1610612744,Golden State Warriors,2017-18,10.7,97.73,0.581,0.545,19.2,0.255,0.732,0.508,0.131
1610612744,Golden State Warriors,2018-19,3.1,98.57,0.589,0.548,20.0,0.301,0.714,0.513,0.15
1610612761,Toronto Raptors,2018-19,5.6,96.25,0.561,0.515,17.2,0.239,0.719,0.483,0.124
1610612747,Los Angeles Lakers,2019-20,6.9,97.52,0.595,0.561,18.7,0.304,0.76,0.534,0.158
1610612748,Miami Heat,2019-20,1.9,96.57,0.587,0.537,18.7,0.243,0.731,0.493,0.135
1610612749,Milwaukee Bucks,2020-21,5.3,97.51,0.55,0.524,16.7,0.31,0.765,0.531,0.13
1610612756,Phoenix Suns,2020-21,4.2,96.09,0.585,0.547,17.9,0.234,0.725,0.494,0.124
1610612738,Boston Celtics,2021-22,3.9,95.79,0.574,0.533,18.5,0.271,0.713,0.5,0.154
1610612744,Golden State Warriors,2021-22,4.9,97.61,0.59,0.561,19.6,0.283,0.731,0.515,0.149
1610612743,Denver Nuggets,2022-23,8.0,95.18,0.593,0.557,19.1,0.3,0.762,0.538,0.121
1610612748,Miami Heat,2022-23,1.9,94.87,0.567,0.531,17.9,0.272,0.708,0.487,0.123
1610612738,Boston Celtics,2023-24,8.6,92.6,0.589,0.555,18.4,0.276,0.762,0.521,0.123
1610612742,Dallas Mavericks,2023-24,2.6,93.48,0.569,0.54,16.4,0.298,0.722,0.514,0.134
