TEAM_ID,TEAM_NAME,SEASON,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
1610612747,Los Angeles Lakers,2000-01,14.9,16.9,13.4,48.1,14.4,13.4,10.4,35.5
1610612755,Philadelphia 76ers,2000-01,15.0,17.2,15.1,35.6,12.5,12.9,12.7,31.0
1610612747,Los Angeles Lakers,2001-02,15.3,16.1,8.5,43.4,15.2,13.3,8.5,37.2
1610612751,New Jersey Nets,2001-02,15.7,14.5,14.2,39.8,15.9,12.2,10.9,36.1
1610612751,New Jersey Nets,2002-03,16.4,14.6,17.0,39.5,16.3,11.1,7.8,35.2
1610612759,San Antonio Spurs,2002-03,17.3,14.0,10.1,40.7,15.2,12.7,12.1,36.0
1610612765,Detroit Pistons,2003-04,16.0,13.0,11.8,34.8,14.7,10.7,11.7,33.2
1610612747,Los Angeles Lakers,2003-04,15.3,10.6,9.0,38.0,13.0,12.7,10.1,32.4
1610612765,Detroit Pistons,2004-05,16.2,14.8,11.7,34.8,12.8,11.0,9.5,35.5
1610612759,San Antonio Spurs,2004-05,14.1,14.2,9.3,42.4,16.2,13.5,11.3,42.1
1610612742,Dallas Mavericks,2005-06,16.5,14.3,11.7,38.1,13.5,9.7,12.3,43.6
1610612748,Miami Heat,2005-06,15.3,11.4,11.3,42.5,17.7,11.4,13.4,32.1
1610612739,Cleveland Cavaliers,2006-07,15.0,13.5,9.6,32.7,12.9,11.0,8.6,33.2
1610612759,San Antonio Spurs,2006-07,15.0,11.1,8.3,38.8,15.7,13.7,10.6,39.2
1610612738,Boston Celtics,2007-08,17.7,12.9,8.9,34.9,14.1,12.1,8.5,29.2
1610612747,Los Angeles Lakers,2007-08,14.3,11.6,9.4,43.0,15.3,13.2,10.9,42.5
1610612747,Los Angeles Lakers,2008-09,17.1,14.1,10.6,42.5,13.8,13.8,8.7,38.4
1610612753,Orlando Magic,2008-09,15.2,11.7,10.0,37.8,13.9,9.9,11.6,36.6
1610612738,Boston Celtics,2009-10,17.1,10.3,13.1,37.8,16.0,12.3,8.3,37.3
1610612747,Los Angeles Lakers,2009-10,14.4,15.3,7.0,41.5,13.3,12.0,11.9,38.4
1610612742,Dallas Mavericks,2010-11,15.0,11.8,10.8,34.0,14.2,11.8,12.8,41.8
1610612748,Miami Heat,2010-11,16.5,11.3,10.8,35.6,15.9,12.6,13.6,34.2
1610612748,Miami Heat,2011-12,16.8,12.3,12.6,41.7,13.3,12.8,10.3,38.3
1610612760,Oklahoma City Thunder,2011-12,16.6,10.8,16.4,39.2,13.9,12.6,8.8,40.5
1610612748,Miami Heat,2012-13,18.4,13.7,11.1,39.0,13.9,13.9,8.8,39.3
1610612759,San Antonio Spurs,2012-13,15.2,12.6,12.3,42.7,14.4,13.7,8.7,38.7
1610612748,Miami Heat,2013-14,16.3,9.5,9.7,37.9,13.1,11.9,8.8,37.6
1610612759,San Antonio Spurs,2013-14,17.1,12.4,12.9,43.8,13.2,11.5,11.0,38.3
1610612739,Cleveland Cavaliers,2014-15,13.8,15.2,6.6,38.2,14.1,13.8,10.7,39.7
1610612744,Golden State Warriors,2014-15,15.7,13.3,19.0,41.0,15.9,11.8,11.9,41.9
1610612739,Cleveland Cavaliers,2015-16,17.5,14.3,13.6,38.7,13.5,10.6,8.4,36.9
1610612744,Golden State Warriors,2015-16,17.9,12.0,14.7,40.2,16.0,15.5,15.2,42.3
1610612739,Cleveland Cavaliers,2016-17,14.9,11.6,12.8,41.8,14.5,12.4,13.4,43.0
1610612744,Golden State Warriors,2016-17,18.0,12.2,21.0,44.4,17.4,12.5,13.5,45.1
1610612739,Cleveland Cavaliers,2017-18,13.0,11.9,9.5,42.3,14.4,12.4,13.0,46.4
1610612744,Golden State Warriors,2017-18,16.9,11.0,16.8,41.0,14.5,12.9,12.2,46.0
1610612744,Golden State Warriors,2018-19,18.4,14.4,16.3,42.4,16.1,13.7,14.5,41.5
1610612761,Toronto Raptors,2018-19,17.0,11.5,16.5,40.5,14.0,12.8,15.1,38.1
1610612747,Los Angeles Lakers,2019-20,17.6,13.6,15.1,47.6,17.1,10.8,8.4,40.6
1610612748,Miami Heat,2019-20,16.1,12.0,9.0,40.5,15.4,12.7,12.6,42.2
1610612749,Milwaukee Bucks,2020-21,14.2,16.3,14.2,50.4,14.7,11.0,8.6,39.5
1610612756,Phoenix Suns,2020-21,15.3,10.2,10.5,43.5,13.3,12.8,11.9,44.5
1610612738,Boston Celtics,2021-22,16.1,12.4,12.5,38.1,17.7,13.7,13.2,40.5
1610612744,Golden State Warriors,2021-22,16.5,14.6,12.0,44.3,16.4,13.0,11.6,40.5
1610612743,Denver Nuggets,2022-23,14.0,12.3,15.9,51.8,13.3,10.4,13.8,46.3
1610612748,Miami Heat,2022-23,17.8,11.6,10.7,43.0,15.7,12.9,12.1,46.5
1610612738,Boston Celtics,2023-24,14.7,11.0,11.6,42.4,13.4,9.5,9.8,47.6
1610612742,Dallas Mavericks,2023-24,15.1,13.3,11.7,45.9,14.8,10.9,11.7,41.5
