TEAM_ID,TEAM_NAME,W_PCT,SEASON,FG3M_RANK,FG3A_RANK,FG3_PCT,PLUS_MINUS
1610612747,Los Angeles Lakers,0.683,2000-01,11,9,0.344,3.4
1610612755,Philadelphia 76ers,0.683,2000-01,28,28,0.326,4.3
1610612747,Los Angeles Lakers,0.707,2001-02,6,7,0.354,7.1
1610612751,New Jersey Nets,0.634,2001-02,17,14,0.338,4.2
1610612751,New Jersey Nets,0.598,2002-03,23,22,0.332,5.2
1610612759,San Antonio Spurs,0.732,2002-03,11,11,0.354,5.4
1610612765,Detroit Pistons,0.659,2003-04,24,26,0.344,5.8
1610612747,Los Angeles Lakers,0.683,2003-04,22,20,0.327,3.9
1610612765,Detroit Pistons,0.659,2004-05,22,22,0.345,3.9
1610612759,San Antonio Spurs,0.72,2004-05,12,13,0.363,7.8
1610612742,Dallas Mavericks,0.732,2005-06,21,21,0.374,6.1
1610612748,Miami Heat,0.634,2005-06,12,12,0.345,3.9
1610612739,Cleveland Cavaliers,0.61,2006-07,15,14,0.352,3.8
1610612759,San Antonio Spurs,0.707,2006-07,6,7,0.381,8.4
1610612738,Boston Celtics,0.805,2007-08,8,12,0.381,10.3
1610612747,Los Angeles Lakers,0.695,2007-08,5,6,0.378,7.3
1610612747,Los Angeles Lakers,0.793,2008-09,17,15,0.361,7.7
1610612753,Orlando Magic,0.72,2008-09,2,2,0.381,6.7
1610612738,Boston Celtics,0.61,2009-10,16,16,0.348,3.7
1610612747,Los Angeles Lakers,0.695,2009-10,13,10,0.341,4.7
1610612742,Dallas Mavericks,0.695,2010-11,8,5,0.365,4.2
1610612748,Miami Heat,0.707,2010-11,11,15,0.37,7.5
1610612748,Miami Heat,0.697,2011-12,20,23,0.359,6.0
1610612760,Oklahoma City Thunder,0.712,2011-12,12,12,0.358,6.1
1610612748,Miami Heat,0.805,2012-13,3,6,0.396,7.9
1610612759,San Antonio Spurs,0.707,2012-13,7,7,0.376,6.4
1610612748,Miami Heat,0.659,2013-14,14,15,0.364,4.8
1610612759,San Antonio Spurs,0.756,2013-14,12,16,0.397,7.7
1610612739,Cleveland Cavaliers,0.646,2014-15,4,2,0.367,4.5
1610612744,Golden State Warriors,0.817,2014-15,2,4,0.398,10.1
1610612739,Cleveland Cavaliers,0.695,2015-16,2,3,0.362,6.0
1610612744,Golden State Warriors,0.89,2015-16,1,1,0.416,10.8
1610612739,Cleveland Cavaliers,0.622,2016-17,2,2,0.384,3.2
1610612744,Golden State Warriors,0.817,2016-17,4,5,0.383,11.6
1610612739,Cleveland Cavaliers,0.61,2017-18,3,5,0.372,0.9
1610612744,Golden State Warriors,0.707,2017-18,8,17,0.391,6.0
1610612744,Golden State Warriors,0.695,2018-19,3,8,0.385,6.5
1610612761,Toronto Raptors,0.707,2018-19,8,11,0.366,6.1
1610612747,Los Angeles Lakers,0.732,2019-20,23,23,0.349,5.8
1610612748,Miami Heat,0.603,2019-20,6,9,0.379,2.9
1610612749,Milwaukee Bucks,0.639,2020-21,5,8,0.389,5.9
1610612756,Phoenix Suns,0.708,2020-21,13,15,0.378,5.8
1610612738,Boston Celtics,0.622,2021-22,8,9,0.356,7.3
1610612744,Golden State Warriors,0.646,2021-22,3,3,0.364,5.5
1610612743,Denver Nuggets,0.646,2022-23,18,25,0.379,3.3
1610612748,Miami Heat,0.537,2022-23,17,10,0.344,-0.3
1610612738,Boston Celtics,0.78,2023-24,1,1,0.388,11.3
1610612742,Dallas Mavericks,0.61,2023-24,3,2,0.369,2.2
