TEAM_ID,TEAM_NAME,SEASON,FTA_RATE,EFG_PCT,OREB_PCT,TM_TOV_PCT
1610612747,Los Angeles Lakers,2000-01,0.349,0.498,0.338,0.154
1610612755,Philadelphia 76ers,2000-01,0.351,0.468,0.334,0.17
1610612747,Los Angeles Lakers,2001-02,0.313,0.498,0.311,0.135
1610612751,New Jersey Nets,2001-02,0.28,0.476,0.322,0.154
1610612751,New Jersey Nets,2002-03,0.333,0.468,0.317,0.158
1610612759,San Antonio Spurs,2002-03,0.348,0.497,0.311,0.171
1610612765,Detroit Pistons,2003-04,0.328,0.461,0.332,0.168
1610612747,Los Angeles Lakers,2003-04,0.352,0.481,0.313,0.146
1610612765,Detroit Pistons,2004-05,0.335,0.472,0.34,0.154
1610612759,San Antonio Spurs,2004-05,0.329,0.492,0.321,0.151
1610612742,Dallas Mavericks,2005-06,0.364,0.495,0.347,0.15
1610612748,Miami Heat,2005-06,0.363,0.517,0.297,0.156
1610612739,Cleveland Cavaliers,2006-07,0.32,0.484,0.327,0.155
1610612759,San Antonio Spurs,2006-07,0.313,0.521,0.279,0.153
1610612738,Boston Celtics,2007-08,0.346,0.522,0.306,0.164
1610612747,Los Angeles Lakers,2007-08,0.333,0.525,0.297,0.145
1610612747,Los Angeles Lakers,2008-09,0.299,0.513,0.326,0.14
1610612753,Orlando Magic,2008-09,0.351,0.52,0.273,0.149
1610612738,Boston Celtics,2009-10,0.332,0.522,0.274,0.16
1610612747,Los Angeles Lakers,2009-10,0.289,0.496,0.314,0.141
1610612742,Dallas Mavericks,2010-11,0.286,0.525,0.278,0.151
1610612748,Miami Heat,2010-11,0.363,0.524,0.287,0.151
1610612748,Miami Heat,2011-12,0.307,0.505,0.299,0.163
1610612760,Oklahoma City Thunder,2011-12,0.334,0.516,0.304,0.172
1610612748,Miami Heat,2012-13,0.297,0.552,0.264,0.151
1610612759,San Antonio Spurs,2012-13,0.258,0.531,0.243,0.153
1610612748,Miami Heat,2013-14,0.3,0.554,0.244,0.159
1610612759,San Antonio Spurs,2013-14,0.24,0.537,0.261,0.15
1610612739,Cleveland Cavaliers,2014-15,0.287,0.52,0.311,0.152
1610612744,Golden State Warriors,2014-15,0.239,0.54,0.273,0.145
1610612739,Cleveland Cavaliers,2015-16,0.259,0.524,0.294,0.143
1610612744,Golden State Warriors,2015-16,0.25,0.563,0.267,0.15
1610612739,Cleveland Cavaliers,2016-17,0.275,0.547,0.264,0.14
1610612744,Golden State Warriors,2016-17,0.259,0.563,0.272,0.146
1610612739,Cleveland Cavaliers,2017-18,0.275,0.547,0.243,0.139
1610612744,Golden State Warriors,2017-18,0.239,0.569,0.243,0.153
1610612744,Golden State Warriors,2018-19,0.227,0.565,0.257,0.139
1610612761,Toronto Raptors,2018-19,0.247,0.543,0.265,0.138
1610612747,Los Angeles Lakers,2019-20,0.276,0.542,0.283,0.149
1610612748,Miami Heat,2019-20,0.299,0.547,0.257,0.149
1610612749,Milwaukee Bucks,2020-21,0.233,0.566,0.269,0.134
1610612756,Phoenix Suns,2020-21,0.212,0.564,0.248,0.126
1610612738,Boston Celtics,2021-22,0.239,0.542,0.277,0.139
1610612744,Golden State Warriors,2021-22,0.235,0.552,0.269,0.15
1610612743,Denver Nuggets,2022-23,0.259,0.573,0.289,0.147
1610612748,Miami Heat,2022-23,0.27,0.53,0.274,0.138
1610612738,Boston Celtics,2023-24,0.224,0.578,0.287,0.121
1610612742,Dallas Mavericks,2023-24,0.251,0.562,0.257,0.124
