TEAM_ID,TEAM_NAME,SEASON,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
1610612747,Los Angeles Lakers,2000-01,14.9,15.3,9.7,44.3,16.0,13.5,12.8,37.9
1610612755,Philadelphia 76ers,2000-01,17.7,14.6,16.1,41.8,16.2,12.6,13.5,36.6
1610612747,Los Angeles Lakers,2001-02,15.5,14.9,10.7,43.6,13.7,14.6,10.7,37.0
1610612751,New Jersey Nets,2001-02,17.4,14.0,17.4,42.7,14.6,13.0,10.8,35.3
1610612751,New Jersey Nets,2002-03,18.3,13.8,18.7,41.3,15.6,12.3,10.9,34.2
1610612759,San Antonio Spurs,2002-03,16.3,12.7,11.8,43.5,16.7,14.0,12.2,37.5
1610612765,Detroit Pistons,2003-04,16.6,12.4,12.3,38.7,14.6,12.7,10.3,33.7
1610612747,Los Angeles Lakers,2003-04,16.6,13.9,11.3,44.0,14.5,13.1,11.0,37.7
1610612765,Detroit Pistons,2004-05,15.6,14.1,12.6,36.4,14.5,12.1,12.3,35.0
1610612759,San Antonio Spurs,2004-05,16.2,12.8,12.8,42.2,14.6,12.3,10.9,37.2
1610612742,Dallas Mavericks,2005-06,16.0,14.0,13.7,37.7,14.0,12.8,12.3,35.9
1610612748,Miami Heat,2005-06,15.3,13.5,12.8,46.4,16.4,11.9,12.4,35.3
1610612739,Cleveland Cavaliers,2006-07,16.6,15.1,12.2,40.3,14.7,12.3,10.7,38.1
1610612759,San Antonio Spurs,2006-07,16.8,12.0,11.6,39.9,15.3,12.4,10.8,38.9
1610612738,Boston Celtics,2007-08,18.9,12.9,11.0,38.9,16.2,12.5,9.1,34.1
1610612747,Los Angeles Lakers,2007-08,17.1,13.2,12.4,43.8,15.8,14.3,11.9,41.2
1610612747,Los Angeles Lakers,2008-09,18.8,15.7,12.3,47.0,15.1,13.3,11.5,41.7
1610612753,Orlando Magic,2008-09,14.4,12.7,11.5,35.9,15.0,12.5,11.2,35.7
1610612738,Boston Celtics,2009-10,17.4,11.1,14.2,44.1,16.1,12.8,11.6,38.2
1610612747,Los Angeles Lakers,2009-10,16.3,15.3,11.2,43.8,15.2,12.9,12.8,40.7
1610612742,Dallas Mavericks,2010-11,15.3,11.5,14.8,37.1,15.4,12.6,13.9,42.0
1610612748,Miami Heat,2010-11,16.1,11.8,14.2,38.0,15.5,12.8,13.0,38.6
1610612748,Miami Heat,2011-12,19.7,12.5,13.7,42.5,16.6,13.1,11.9,36.6
1610612760,Oklahoma City Thunder,2011-12,16.1,13.2,16.1,41.9,16.7,14.7,12.3,42.4
1610612748,Miami Heat,2012-13,18.6,10.4,11.9,41.5,15.7,14.7,11.9,39.9
1610612759,San Antonio Spurs,2012-13,17.4,10.1,13.7,44.6,16.4,12.5,14.2,40.0
1610612748,Miami Heat,2013-14,19.3,9.7,13.2,45.2,17.4,13.3,12.0,41.1
1610612759,San Antonio Spurs,2013-14,16.5,12.0,13.2,45.9,16.3,12.7,12.8,42.2
1610612739,Cleveland Cavaliers,2014-15,16.0,12.7,11.3,41.0,16.2,12.4,11.8,42.7
1610612744,Golden State Warriors,2014-15,19.7,12.5,20.9,45.3,15.2,14.2,13.9,41.6
1610612739,Cleveland Cavaliers,2015-16,16.3,13.2,11.8,41.0,15.5,11.2,11.2,40.8
1610612744,Golden State Warriors,2015-16,17.1,12.2,20.9,44.6,16.6,13.8,14.5,45.1
1610612739,Cleveland Cavaliers,2016-17,14.6,11.5,12.9,39.5,16.6,13.7,13.3,44.5
1610612744,Golden State Warriors,2016-17,19.3,12.6,22.6,46.6,16.7,14.0,14.4,45.4
1610612739,Cleveland Cavaliers,2017-18,16.1,11.2,12.5,44.2,16.5,12.7,11.3,47.0
1610612744,Golden State Warriors,2017-18,17.3,10.3,19.3,44.1,18.5,13.7,14.1,47.4
1610612744,Golden State Warriors,2018-19,16.3,12.5,19.1,43.2,17.4,13.8,15.1,47.1
1610612761,Toronto Raptors,2018-19,17.2,12.7,18.4,48.5,15.9,12.9,13.5,47.5
1610612747,Los Angeles Lakers,2019-20,19.0,14.1,18.4,52.8,17.4,12.0,16.5,45.8
1610612748,Miami Heat,2019-20,16.2,11.8,11.3,43.9,17.9,12.8,11.4,44.1
1610612749,Milwaukee Bucks,2020-21,16.3,13.2,14.5,48.8,15.9,13.0,10.7,43.1
1610612756,Phoenix Suns,2020-21,16.1,12.9,13.1,45.3,14.8,12.4,12.0,47.4
1610612738,Boston Celtics,2021-22,16.3,13.0,11.1,46.5,15.2,12.5,11.5,42.5
1610612744,Golden State Warriors,2021-22,17.6,12.6,13.8,44.7,16.9,12.7,12.3,43.9
1610612743,Denver Nuggets,2022-23,15.9,13.0,16.2,55.0,17.4,13.4,13.7,52.5
1610612748,Miami Heat,2022-23,18.2,12.9,11.5,46.4,15.9,12.0,12.5,46.2
1610612738,Boston Celtics,2023-24,15.5,14.5,15.3,47.0,13.3,13.6,13.0,47.7
1610612742,Dallas Mavericks,2023-24,16.5,13.4,15.8,47.4,15.1,14.3,15.7,51.0
