TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612747,Los Angeles Lakers,16,15,1,0.938,773.0,108.8,109.8,95.3,96.4,13.5,13.4,0.596,1.63,17.1,0.356,0.718,0.541,0.149,0.505,0.542,94.4,93.45,77.88,1506,0.595,3,1,1,1,3,1,1,1,7,6,4,1,2,1,10,1,2,4,1,2000-01
1610612755,Philadelphia 76ers,23,12,11,0.522,1109.0,101.6,104.3,103.3,104.5,-1.7,-0.1,0.586,1.61,15.9,0.352,0.693,0.516,0.14,0.445,0.498,89.8,88.1,73.42,2036,0.495,1,2,16,5,1,6,9,6,9,8,8,2,5,2,5,11,11,14,7,2000-01
1610612747,Los Angeles Lakers,19,15,4,0.789,917.0,103.7,105.2,99.1,101.3,4.6,3.9,0.549,1.43,15.4,0.319,0.683,0.506,0.148,0.482,0.527,94.1,92.41,77.01,1767,0.531,2,1,9,1,2,3,7,1,12,6,10,6,10,7,5,3,5,5,2,2001-02
1610612751,New Jersey Nets,20,11,9,0.55,970.0,98.7,100.6,100.3,100.7,-1.6,-0.2,0.594,1.5,16.2,0.314,0.698,0.5,0.15,0.457,0.503,94.8,93.77,78.14,1896,0.491,1,2,16,4,1,7,6,7,7,5,4,9,7,9,6,9,11,4,9,2001-02
1610612751,New Jersey Nets,20,14,6,0.7,975.0,99.5,100.9,96.3,97.4,3.2,3.5,0.623,1.4,16.4,0.339,0.732,0.531,0.164,0.453,0.506,92.5,91.37,76.14,1857,0.515,2,2,10,1,2,11,3,2,3,6,5,5,2,3,10,13,14,9,4,2002-03
1610612759,San Antonio Spurs,24,16,8,0.667,1157.0,101.6,102.2,94.7,96.4,6.9,5.8,0.612,1.36,16.2,0.314,0.704,0.517,0.164,0.476,0.525,93.4,92.25,76.87,2225,0.572,1,1,14,2,1,9,1,1,6,11,6,8,5,6,11,9,10,5,1,2002-03
1610612765,Detroit Pistons,23,16,7,0.696,1124.0,96.4,97.7,89.4,90.3,7.1,7.4,0.619,1.31,15.6,0.335,0.706,0.522,0.167,0.439,0.493,88.7,87.67,73.06,2050,0.567,1,1,13,1,1,8,1,1,7,6,9,3,4,3,9,12,10,14,1,2003-04
1610612747,Los Angeles Lakers,22,13,9,0.591,1066.0,98.8,99.1,97.1,98.8,1.7,0.4,0.685,1.79,18.3,0.277,0.694,0.486,0.142,0.477,0.508,88.7,87.78,73.15,1956,0.524,2,2,16,5,2,5,7,6,1,1,1,14,8,12,2,3,5,13,4,2003-04
1610612765,Detroit Pistons,25,15,10,0.6,1210.0,101.8,103.8,97.1,98.6,4.7,5.2,0.593,1.68,16.7,0.335,0.711,0.518,0.14,0.466,0.508,87.7,86.2,71.83,2175,0.547,1,2,16,3,1,11,1,1,4,3,1,6,2,1,8,12,13,15,1,2004-05
1610612759,San Antonio Spurs,23,16,7,0.696,1114.0,106.5,109.1,102.4,104.2,4.1,4.9,0.53,1.27,15.0,0.352,0.674,0.516,0.163,0.5,0.546,89.9,88.03,73.36,2043,0.525,2,1,13,2,2,7,5,2,6,9,10,2,7,2,13,5,5,13,4,2004-05
