TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612747,Los Angeles Lakers,16,15,1,0.938,48.3,38.3,81.8,0.468,6.1,15.9,0.386,20.8,30.7,0.676,14.3,33.9,48.2,22.8,14.0,9.2,5.8,5.8,22.7,0.0,103.4,12.8,3,1,1,1,2,2,5,2,4,8,3,4,2,16,2,1,1,2,12,2,5,13,6,10,1,1,2000-01
1610612755,Philadelphia 76ers,23,12,11,0.522,48.2,34.0,80.8,0.421,3.8,11.4,0.336,20.4,26.9,0.761,14.1,29.7,43.9,20.0,12.4,8.0,4.9,6.8,20.7,0.0,92.3,-0.1,1,2,16,5,4,6,6,9,14,14,11,5,4,8,3,9,5,8,5,5,12,15,1,9,6,6,2000-01
1610612747,Los Angeles Lakers,19,15,4,0.789,48.3,35.7,80.5,0.444,6.1,18.0,0.339,20.3,28.1,0.721,12.3,33.2,45.4,19.6,13.7,6.8,5.8,4.4,23.6,0.1,97.8,3.8,2,1,9,1,7,5,7,5,5,4,10,9,6,14,8,3,4,7,5,11,4,2,7,7,4,1,2001-02
1610612751,New Jersey Nets,20,11,9,0.55,48.5,35.9,82.9,0.432,4.2,14.6,0.285,19.5,26.9,0.726,12.4,30.4,42.7,21.3,14.2,7.9,5.5,6.3,24.5,0.1,95.4,-0.1,1,2,16,4,6,4,2,6,13,9,15,10,9,10,7,10,8,2,7,8,6,13,9,11,6,8,2001-02
1610612751,New Jersey Nets,20,14,6,0.7,48.8,34.2,80.6,0.425,4.7,13.3,0.35,20.6,27.1,0.762,13.6,31.5,45.1,21.3,15.2,7.5,4.3,6.4,25.1,0.1,93.7,3.4,2,2,10,1,8,7,6,11,14,14,11,9,7,9,3,5,3,4,11,6,11,15,11,8,9,2,2002-03
1610612759,San Antonio Spurs,24,16,8,0.667,48.2,33.8,76.8,0.441,5.3,15.2,0.351,21.8,30.6,0.712,12.1,33.4,45.5,20.7,15.2,7.8,6.9,5.7,21.4,0.0,94.8,5.5,1,1,14,2,12,8,13,8,9,12,10,6,3,15,9,2,2,7,12,4,1,13,1,10,7,1,2002-03
1610612765,Detroit Pistons,23,16,7,0.696,48.9,31.4,76.3,0.412,4.2,13.9,0.304,20.1,27.3,0.734,12.9,32.0,44.8,19.4,14.9,8.0,7.1,5.1,22.5,0.2,87.1,6.4,1,1,13,1,3,9,8,10,14,13,10,3,3,9,3,5,2,8,8,8,1,8,6,2,8,1,2003-04
1610612747,Los Angeles Lakers,22,13,9,0.591,48.5,33.0,74.5,0.444,5.0,15.5,0.321,17.1,27.9,0.612,10.2,30.0,40.2,22.6,12.6,7.3,4.2,3.4,22.9,0.1,88.1,0.9,2,2,16,5,4,6,12,1,8,8,8,11,2,16,12,10,13,2,1,12,9,1,9,9,7,6,2003-04
1610612765,Detroit Pistons,25,15,10,0.6,48.4,34.5,79.0,0.437,4.5,13.9,0.326,16.8,22.6,0.742,12.4,29.9,42.3,20.5,12.2,7.3,6.1,5.5,21.0,0.0,90.3,4.7,1,2,16,3,7,12,9,11,15,15,10,14,14,9,7,4,6,4,3,6,3,8,2,7,13,1,2004-05
1610612759,San Antonio Spurs,23,16,7,0.696,48.4,34.7,76.5,0.454,7.1,18.3,0.389,20.4,28.0,0.727,12.3,29.7,42.1,18.4,14.5,5.6,5.8,5.9,21.9,0.0,96.9,4.3,2,1,13,2,6,11,12,6,5,8,4,9,8,12,8,7,7,9,12,15,8,9,4,6,10,2,2004-05
1610612742,Dallas Mavericks,23,14,9,0.609,48.9,36.1,80.1,0.451,4.8,15.1,0.317,22.7,28.0,0.809,12.2,30.5,42.7,15.3,12.8,6.6,4.3,4.8,25.5,24.4,99.7,4.1,1,2,15,2,6,6,6,8,12,11,13,4,8,3,4,5,2,15,5,6,7,12,11,8,6,1,2005-06
1610612748,Miami Heat,23,16,7,0.696,48.2,34.8,72.4,0.481,6.3,19.1,0.333,20.3,30.9,0.655,9.5,32.5,42.0,17.5,15.5,7.0,4.6,2.9,24.0,25.7,96.3,3.8,1,1,13,1,10,8,14,4,6,6,9,11,3,16,11,2,5,10,13,2,4,1,8,6,10,2,2005-06
1610612739,Cleveland Cavaliers,20,12,8,0.6,48.5,32.1,76.3,0.421,5.4,16.6,0.326,19.2,26.1,0.737,11.9,31.4,43.3,17.5,13.0,7.2,3.5,3.8,20.7,21.0,88.8,2.2,1,2,15,3,2,15,9,14,12,12,10,8,9,10,5,2,5,13,2,5,14,4,5,12,12,4,2006-07
1610612759,San Antonio Spurs,20,16,4,0.8,48.0,35.3,76.8,0.459,7.6,19.7,0.384,17.6,24.3,0.724,10.5,30.1,40.6,19.9,13.9,7.1,5.5,4.6,20.5,20.8,95.7,4.0,1,1,1,1,5,5,8,3,3,7,1,10,12,13,10,10,8,6,5,6,1,11,4,13,6,2,2006-07
1610612738,Boston Celtics,26,16,10,0.615,48.0,33.6,75.1,0.447,6.0,16.8,0.359,20.8,26.6,0.783,11.1,28.9,40.0,21.5,12.8,7.6,4.3,5.0,24.3,22.8,94.0,5.2,1,1,16,2,5,10,12,6,7,10,4,8,10,4,9,12,10,2,8,2,12,7,14,8,9,1,2007-08
1610612747,Los Angeles Lakers,21,14,7,0.667,48.2,36.8,78.6,0.468,7.0,19.0,0.367,22.0,29.1,0.753,8.8,30.8,39.6,20.8,13.3,7.2,5.3,4.4,23.3,25.0,102.4,2.2,2,2,13,1,4,5,9,2,5,8,3,4,6,8,16,7,11,4,11,6,6,5,12,2,1,4,2007-08
1610612747,Los Angeles Lakers,23,16,7,0.696,48.4,37.4,80.5,0.465,7.0,18.4,0.377,20.6,27.5,0.747,11.1,30.9,42.0,19.4,13.0,7.9,6.3,4.3,23.5,23.1,102.4,7.2,2,1,13,2,4,2,4,3,6,9,4,8,7,10,2,4,4,5,8,3,3,6,10,7,3,3,2008-09
1610612753,Orlando Magic,24,13,11,0.542,48.6,34.5,75.4,0.457,8.4,23.3,0.36,19.6,27.1,0.722,8.3,30.0,38.4,18.9,13.2,6.8,4.8,3.8,21.4,24.3,97.0,1.8,1,2,16,4,3,9,10,5,1,1,7,9,8,14,14,7,10,7,9,6,7,4,4,4,8,4,2008-09
1610612738,Boston Celtics,24,15,9,0.625,48.2,34.3,75.7,0.453,5.8,16.0,0.363,19.5,25.8,0.755,8.8,30.3,39.1,21.1,13.9,8.0,4.6,5.4,24.6,22.7,93.9,2.8,1,2,16,3,2,8,13,8,11,13,6,9,10,8,14,6,13,2,13,2,9,11,13,10,9,4,2009-10
1610612747,Los Angeles Lakers,23,16,7,0.696,48.0,37.3,81.2,0.46,6.8,20.7,0.33,19.6,26.0,0.754,12.8,30.1,42.9,19.7,12.5,6.7,6.2,4.8,23.2,23.3,101.1,3.8,2,1,14,2,3,4,2,7,4,4,11,8,9,9,2,8,3,6,5,6,2,9,12,8,4,3,2009-10
1610612742,Dallas Mavericks,21,16,5,0.762,48.2,34.5,74.9,0.461,8.8,22.2,0.394,20.5,25.4,0.809,9.7,28.7,38.4,20.1,12.9,7.1,4.1,5.1,20.1,21.6,98.2,5.8,1,1,10,1,7,5,13,2,1,3,2,6,8,2,11,10,12,4,8,8,12,7,3,8,3,1,2010-11
