TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,SEASON
1610612747,Los Angeles Lakers,16,15,1,0.938,773.0,0.505,0.375,0.149,0.356,0.433,0.325,0.149,0.282,3,1,1,1,3,1,2,10,1,1,5,9,2,2000-01
1610612755,Philadelphia 76ers,23,12,11,0.522,1109.0,0.445,0.332,0.14,0.352,0.486,0.261,0.152,0.307,1,2,16,5,1,11,6,5,2,13,1,7,5,2000-01
1610612747,Los Angeles Lakers,19,15,4,0.789,917.0,0.482,0.349,0.148,0.319,0.455,0.324,0.14,0.317,2,1,9,1,2,3,6,5,6,7,7,13,10,2001-02
1610612751,New Jersey Nets,20,11,9,0.55,970.0,0.457,0.324,0.15,0.314,0.472,0.383,0.164,0.302,1,2,16,4,1,9,10,6,9,11,12,4,7,2001-02
1610612751,New Jersey Nets,20,14,6,0.7,975.0,0.453,0.336,0.164,0.339,0.464,0.342,0.165,0.268,2,2,10,1,2,13,9,10,5,6,8,4,2,2002-03
1610612759,San Antonio Spurs,24,16,8,0.667,1157.0,0.476,0.399,0.164,0.314,0.439,0.277,0.161,0.296,1,1,14,2,1,9,3,11,8,2,2,6,5,2002-03
1610612765,Detroit Pistons,23,16,7,0.696,1124.0,0.439,0.359,0.167,0.335,0.423,0.315,0.174,0.294,1,1,13,1,1,12,4,9,3,3,5,6,4,2003-04
1610612747,Los Angeles Lakers,22,13,9,0.591,1066.0,0.477,0.375,0.142,0.277,0.456,0.33,0.165,0.306,2,2,16,5,2,3,3,2,14,7,7,11,8,2003-04
1610612765,Detroit Pistons,25,15,10,0.6,1210.0,0.466,0.286,0.14,0.335,0.47,0.309,0.164,0.289,1,2,16,3,1,12,13,8,6,4,3,5,2,2004-05
1610612759,San Antonio Spurs,23,16,7,0.696,1114.0,0.5,0.367,0.163,0.352,0.471,0.286,0.139,0.326,2,1,13,2,2,5,7,13,2,5,2,13,7,2004-05
1610612742,Dallas Mavericks,23,14,9,0.609,1124.0,0.481,0.35,0.14,0.322,0.506,0.393,0.157,0.258,1,2,15,2,1,11,10,5,3,10,13,6,2,2005-06
1610612748,Miami Heat,23,16,7,0.696,1109.0,0.525,0.427,0.169,0.284,0.47,0.354,0.156,0.265,1,1,13,1,2,3,1,14,10,1,7,7,4,2005-06
1610612739,Cleveland Cavaliers,20,12,8,0.6,970.0,0.456,0.341,0.148,0.317,0.464,0.321,0.156,0.27,1,2,15,3,1,14,10,3,7,3,8,10,4,2006-07
1610612759,San Antonio Spurs,20,16,4,0.8,960.0,0.508,0.317,0.155,0.29,0.471,0.302,0.159,0.316,1,1,1,1,2,3,12,6,10,5,6,6,12,2006-07
1610612738,Boston Celtics,26,16,10,0.615,1248.0,0.487,0.354,0.147,0.335,0.463,0.411,0.163,0.301,1,1,16,2,1,6,8,11,7,2,15,3,8,2007-08
1610612747,Los Angeles Lakers,21,14,7,0.667,1013.0,0.512,0.371,0.141,0.267,0.477,0.329,0.141,0.319,2,2,13,1,2,2,6,8,14,4,8,8,10,2007-08
1610612747,Los Angeles Lakers,23,16,7,0.696,1114.0,0.508,0.342,0.141,0.303,0.471,0.361,0.155,0.308,2,1,13,2,2,4,8,5,4,2,11,4,13,2008-09
1610612753,Orlando Magic,24,13,11,0.542,1167.0,0.513,0.36,0.145,0.264,0.488,0.305,0.143,0.282,1,2,16,4,1,3,6,10,12,5,4,9,5,2008-09
1610612738,Boston Celtics,24,15,9,0.625,1157.0,0.491,0.341,0.154,0.282,0.473,0.382,0.172,0.294,1,2,16,3,1,8,9,12,13,2,13,1,8,2009-10
1610612747,Los Angeles Lakers,23,16,7,0.696,1104.0,0.502,0.32,0.137,0.347,0.475,0.351,0.137,0.316,2,1,14,2,2,6,11,6,1,3,11,13,10,2009-10
1610612742,Dallas Mavericks,21,16,5,0.762,1013.0,0.519,0.339,0.145,0.296,0.482,0.319,0.154,0.317,1,1,10,1,2,1,7,7,10,10,5,6,8,2010-11
1610612748,Miami Heat,21,14,7,0.667,1018.0,0.485,0.379,0.158,0.304,0.475,0.282,0.148,0.3,1,2,14,2,1,5,3,12,9,9,2,10,5,2010-11
1610612748,Miami Heat,23,16,7,0.696,1114.0,0.505,0.364,0.145,0.3,0.466,0.299,0.161,0.311,1,1,12,2,1,3,2,7,8,6,9,3,12,2011-12
1610612760,Oklahoma City Thunder,20,13,7,0.65,960.0,0.508,0.306,0.126,0.264,0.491,0.326,0.154,0.281,2,2,12,3,3,2,7,2,13,11,12,7,5,2011-12
1610612748,Miami Heat,23,16,7,0.696,1114.0,0.518,0.303,0.147,0.289,0.48,0.324,0.18,0.328,1,1,13,2,1,1,9,7,8,7,10,4,14,2012-13
1610612759,San Antonio Spurs,21,15,6,0.714,1038.0,0.511,0.261,0.138,0.277,0.475,0.233,0.145,0.292,2,2,9,1,2,3,13,5,11,6,3,7,10,2012-13
1610612748,Miami Heat,20,13,7,0.65,960.0,0.555,0.305,0.14,0.223,0.539,0.304,0.158,0.282,2,2,11,2,2,1,10,6,16,14,6,4,9,2013-14
1610612759,San Antonio Spurs,23,16,7,0.696,1109.0,0.546,0.291,0.134,0.263,0.492,0.257,0.151,0.277,1,1,11,1,1,2,12,4,12,5,1,6,8,2013-14
1610612739,Cleveland Cavaliers,20,14,6,0.7,975.0,0.479,0.325,0.139,0.327,0.467,0.275,0.125,0.272,2,2,12,2,2,10,3,10,2,4,6,15,2,2014-15
1610612744,Golden State Warriors,21,16,5,0.762,1023.0,0.521,0.263,0.152,0.285,0.458,0.313,0.148,0.293,1,1,10,1,1,1,10,14,6,2,11,4,11,2014-15
1610612739,Cleveland Cavaliers,21,16,5,0.762,1008.0,0.544,0.267,0.137,0.307,0.51,0.259,0.142,0.255,2,1,10,1,2,1,11,7,3,10,5,9,2,2015-16
1610612744,Golden State Warriors,24,15,9,0.625,1157.0,0.529,0.272,0.143,0.275,0.481,0.311,0.151,0.324,1,2,15,2,1,3,10,10,7,6,13,4,14,2015-16
1610612739,Cleveland Cavaliers,18,13,5,0.722,864.0,0.579,0.316,0.135,0.269,0.521,0.235,0.136,0.296,1,2,10,2,2,1,2,6,9,6,2,8,12,2016-17
1610612744,Golden State Warriors,17,16,1,0.941,816.0,0.567,0.292,0.135,0.278,0.487,0.277,0.139,0.268,3,1,1,1,3,2,7,7,8,1,5,7,8,2016-17
1610612739,Cleveland Cavaliers,22,12,10,0.545,1066.0,0.512,0.282,0.136,0.289,0.529,0.252,0.128,0.256,1,2,16,5,1,11,6,6,2,10,6,14,8,2017-18
