TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,SEASON
1610612747,Los Angeles Lakers,16,15,1,0.938,48.3,14.9,16.9,13.4,48.1,14.4,13.4,10.4,35.5,3,1,1,1,3,6,3,8,1,8,7,3,6,2000-01
1610612755,Philadelphia 76ers,23,12,11,0.522,48.2,15.0,17.2,15.1,35.6,12.5,12.9,12.7,31.0,1,2,16,5,1,4,2,1,6,4,4,8,4,2000-01
1610612747,Los Angeles Lakers,19,15,4,0.789,48.3,15.3,16.1,8.5,43.4,15.2,13.3,8.5,37.2,2,1,9,1,2,9,2,16,1,7,8,3,9,2001-02
1610612751,New Jersey Nets,20,11,9,0.55,48.5,15.7,14.5,14.2,39.8,15.9,12.2,10.9,36.1,1,2,16,4,1,6,6,3,5,9,5,4,7,2001-02
1610612751,New Jersey Nets,20,14,6,0.7,48.8,16.4,14.6,17.0,39.5,16.3,11.1,7.8,35.2,2,2,10,1,2,7,5,1,4,8,3,1,6,2002-03
1610612759,San Antonio Spurs,24,16,8,0.667,48.2,17.3,14.0,10.1,40.7,15.2,12.7,12.1,36.0,1,1,14,2,1,4,8,10,3,5,4,9,7,2002-03
1610612765,Detroit Pistons,23,16,7,0.696,48.9,16.0,13.0,11.8,34.8,14.7,10.7,11.7,33.2,1,1,13,1,1,6,8,6,8,6,4,9,5,2003-04
1610612747,Los Angeles Lakers,22,13,9,0.591,48.5,15.3,10.6,9.0,38.0,13.0,12.7,10.1,32.4,2,2,16,5,2,8,13,11,4,2,9,5,4,2003-04
1610612765,Detroit Pistons,25,15,10,0.6,48.4,16.2,14.8,11.7,34.8,12.8,11.0,9.5,35.5,1,2,16,3,1,6,6,8,14,4,3,2,3,2004-05
1610612759,San Antonio Spurs,23,16,7,0.696,48.4,14.1,14.2,9.3,42.4,16.2,13.5,11.3,42.1,2,1,13,2,2,12,8,12,4,11,6,8,14,2004-05
1610612742,Dallas Mavericks,23,14,9,0.609,48.9,16.5,14.3,11.7,38.1,13.5,9.7,12.3,43.6,1,2,15,2,1,4,5,8,11,4,2,9,13,2005-06
1610612748,Miami Heat,23,16,7,0.696,48.2,15.3,11.4,11.3,42.5,17.7,11.4,13.4,32.1,1,1,13,1,2,6,11,9,5,13,4,12,3,2005-06
1610612739,Cleveland Cavaliers,20,12,8,0.6,48.5,15.0,13.5,9.6,32.7,12.9,11.0,8.6,33.2,1,2,15,3,1,8,7,8,12,2,4,5,6,2006-07
1610612759,San Antonio Spurs,20,16,4,0.8,48.0,15.0,11.1,8.3,38.8,15.7,13.7,10.6,39.2,1,1,1,1,2,8,12,13,7,7,12,9,11,2006-07
