TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612747,Los Angeles Lakers,82,56,26,0.683,3981.0,105.6,107.0,101.7,103.6,3.9,3.5,0.607,1.59,17.4,0.338,0.691,0.517,0.154,0.498,0.535,94.3,92.9,77.42,7710,0.532,1,2,2,2,6,1,22,8,14,7,10,3,11,4,9,2,7,15,6,2000-01
1610612755,Philadelphia 76ers,82,56,26,0.683,3971.0,100.7,101.9,96.2,97.3,4.5,4.6,0.583,1.31,16.0,0.334,0.704,0.523,0.17,0.468,0.518,93.2,92.09,76.74,7619,0.536,1,2,2,2,12,14,5,4,21,23,21,4,3,1,23,19,14,19,5,2000-01
1610612747,Los Angeles Lakers,82,58,24,0.707,3956.0,106.5,108.0,98.7,100.4,7.8,7.6,0.597,1.81,17.5,0.311,0.686,0.501,0.135,0.498,0.534,94.8,93.32,77.77,7691,0.549,1,2,2,2,20,2,7,2,18,3,10,16,10,15,2,4,7,6,3,2001-02
1610612751,New Jersey Nets,82,52,30,0.634,3966.0,101.1,102.4,96.6,98.1,4.5,4.3,0.654,1.67,18.2,0.322,0.683,0.503,0.154,0.476,0.515,94.5,93.2,77.67,7707,0.537,1,5,5,5,8,17,1,5,2,6,4,13,17,11,11,14,17,8,4,2001-02
1610612751,New Jersey Nets,82,49,33,0.598,3951.0,100.6,102.1,95.5,96.6,5.1,5.4,0.649,1.56,17.6,0.317,0.702,0.51,0.158,0.468,0.518,94.2,93.0,77.5,7661,0.544,1,8,8,8,26,20,1,4,4,9,6,13,4,8,16,21,18,11,5,2002-03
1610612759,San Antonio Spurs,82,60,22,0.732,3966.0,103.1,103.9,96.6,98.1,6.5,5.8,0.563,1.26,15.9,0.311,0.687,0.508,0.171,0.497,0.541,92.5,91.46,76.21,7558,0.549,1,1,1,1,14,8,3,3,25,24,21,16,16,12,24,4,3,20,3,2002-03
1610612765,Detroit Pistons,82,54,28,0.659,3956.0,99.1,100.3,92.5,93.9,6.6,6.5,0.62,1.37,16.6,0.332,0.686,0.512,0.168,0.461,0.511,90.5,89.34,74.45,7365,0.558,1,6,6,6,19,19,2,2,10,18,13,8,15,6,20,20,19,22,2,2003-04
1610612747,Los Angeles Lakers,82,56,26,0.683,3971.0,102.7,104.2,98.7,100.1,4.0,4.1,0.643,1.72,17.9,0.313,0.701,0.506,0.146,0.481,0.522,94.8,93.39,77.82,7729,0.538,1,4,4,4,7,6,8,7,5,4,4,15,7,12,5,7,8,7,6,2003-04
1610612765,Detroit Pistons,82,54,28,0.659,3991.0,102.8,103.9,97.9,99.6,4.8,4.3,0.627,1.58,17.2,0.34,0.693,0.518,0.154,0.472,0.519,89.8,88.59,73.82,7364,0.542,1,5,5,5,3,18,3,5,7,8,8,4,8,2,14,23,23,30,4,2004-05
1610612759,San Antonio Spurs,82,59,23,0.72,3961.0,104.9,106.1,95.8,97.8,9.1,8.3,0.606,1.57,17.1,0.321,0.697,0.51,0.151,0.492,0.534,91.4,89.96,74.97,7435,0.565,1,2,2,2,17,8,1,1,14,9,11,15,5,7,11,6,12,25,1,2004-05
1610612742,Dallas Mavericks,82,60,22,0.732,3976.0,108.7,109.9,101.9,103.2,6.8,6.7,0.5,1.32,14.6,0.347,0.69,0.522,0.15,0.495,0.55,90.3,89.3,74.42,7397,0.551,1,3,3,3,9,2,9,3,30,23,28,2,18,2,11,10,5,25,3,2005-06
1610612748,Miami Heat,82,52,30,0.634,3951.0,106.4,107.5,101.7,103.4,4.7,4.1,0.557,1.43,16.4,0.297,0.726,0.519,0.156,0.517,0.556,93.8,92.56,77.13,7622,0.538,1,5,5,5,28,7,10,6,19,15,14,19,2,3,16,2,2,12,5,2005-06
1610612739,Cleveland Cavaliers,82,50,32,0.61,3976.0,102.6,104.4,98.9,100.6,3.7,3.8,0.574,1.45,16.2,0.327,0.721,0.518,0.155,0.484,0.522,93.2,91.59,76.33,7598,0.52,1,7,7,7,8,16,4,7,17,12,17,5,2,5,9,22,29,22,8,2006-07
1610612759,San Antonio Spurs,82,58,24,0.707,3956.0,106.7,108.6,97.4,99.4,9.2,9.2,0.605,1.6,17.8,0.279,0.715,0.505,0.153,0.521,0.561,92.0,90.22,75.19,7440,0.569,1,3,3,3,22,5,2,1,8,5,4,26,6,11,7,2,2,28,1,2006-07
1610612738,Boston Celtics,82,66,16,0.805,3951.0,107.6,108.8,96.2,98.1,11.5,10.8,0.614,1.47,17.6,0.306,0.707,0.518,0.164,0.522,0.569,93.3,91.88,76.57,7575,0.581,1,1,1,1,22,11,1,1,7,18,8,12,9,4,29,5,5,19,1,2007-08
1610612747,Los Angeles Lakers,82,57,25,0.695,3956.0,110.3,111.7,102.8,104.3,7.4,7.3,0.617,1.73,18.1,0.297,0.702,0.507,0.145,0.525,0.57,98.0,96.7,80.58,7974,0.551,1,3,3,3,18,3,5,3,5,6,4,19,14,8,10,4,4,6,5,2007-08
1610612747,Los Angeles Lakers,82,65,17,0.793,3956.0,109.8,111.4,101.9,103.5,7.9,7.9,0.577,1.73,17.3,0.326,0.698,0.514,0.14,0.513,0.555,96.9,95.49,79.58,7874,0.547,1,2,2,2,21,3,6,3,8,3,5,3,16,4,5,6,6,5,3,2008-09
1610612753,Orlando Magic,82,59,23,0.72,3946.0,107.2,108.3,98.9,101.3,8.3,7.1,0.544,1.39,15.6,0.273,0.717,0.502,0.149,0.52,0.559,94.6,92.99,77.49,7649,0.545,1,4,4,4,27,9,1,4,27,26,26,29,3,16,16,3,5,14,4,2008-09
1610612738,Boston Celtics,82,50,32,0.61,3956.0,105.4,106.9,101.1,103.2,4.3,3.7,0.635,1.58,18.5,0.274,0.697,0.493,0.16,0.522,0.564,93.8,92.22,76.85,7609,0.54,1,9,9,9,17,15,5,9,2,10,2,27,18,24,27,5,6,24,4,2009-10
1610612747,Los Angeles Lakers,82,57,25,0.695,3966.0,105.9,107.6,101.1,102.7,4.9,4.9,0.55,1.58,16.2,0.314,0.708,0.512,0.141,0.496,0.538,95.2,93.73,78.11,7749,0.529,1,3,3,3,12,11,3,6,21,12,17,9,7,5,5,15,16,14,9,2009-10
1610612742,Dallas Mavericks,82,57,25,0.695,3941.0,107.6,108.4,102.3,104.1,5.3,4.4,0.637,1.71,18.7,0.278,0.713,0.504,0.151,0.525,0.565,93.4,92.24,76.86,7581,0.538,1,4,4,4,29,9,8,8,1,3,2,25,7,11,16,3,4,17,6,2010-11
1610612748,Miami Heat,82,58,24,0.707,3956.0,109.3,110.6,100.7,102.9,8.5,7.8,0.541,1.44,16.1,0.287,0.715,0.514,0.151,0.524,0.573,93.2,91.63,76.36,7564,0.556,1,3,3,3,20,2,5,2,25,23,22,20,5,3,15,4,2,20,2,2010-11
1610612748,Miami Heat,66,46,20,0.697,3208.0,104.3,105.6,97.1,99.2,7.2,6.4,0.538,1.31,15.9,0.299,0.693,0.504,0.163,0.505,0.549,93.7,92.07,76.73,6154,0.553,1,4,4,4,6,6,4,3,24,24,20,21,13,12,21,6,4,16,2,2011-12
