TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612747,Los Angeles Lakers,82,56,26,0.683,48.5,37.9,81.5,0.465,5.4,15.5,0.344,19.4,28.5,0.683,13.2,31.5,44.7,23.0,14.4,6.9,6.0,4.0,22.8,0.1,100.6,3.4,1,2,2,2,6,4,11,3,11,9,20,10,2,29,4,7,5,9,9,25,6,1,17,8,3,8,2000-01
1610612755,Philadelphia 76ers,82,56,26,0.683,48.4,35.4,79.1,0.447,3.2,9.8,0.326,20.7,27.8,0.745,13.1,31.7,44.8,20.6,15.8,8.4,5.0,5.6,20.4,0.0,94.7,4.3,1,2,2,2,12,16,19,12,28,28,26,3,4,18,5,5,4,21,21,5,19,20,4,27,15,4,2000-01
1610612747,Los Angeles Lakers,82,58,24,0.707,48.2,38.4,83.4,0.461,6.2,17.5,0.354,18.2,26.1,0.699,12.5,31.8,44.3,23.0,12.7,7.6,5.8,4.3,22.2,0.1,101.3,7.1,1,2,2,2,20,4,8,6,6,7,13,12,6,29,14,2,3,9,2,18,8,3,22,17,3,2,2001-02
1610612751,New Jersey Nets,82,52,30,0.634,48.4,37.1,83.1,0.446,4.9,14.6,0.338,17.1,23.3,0.735,12.7,30.7,43.3,24.3,14.5,8.7,6.0,5.4,21.1,0.1,96.2,4.2,1,5,5,5,8,8,9,14,17,14,22,20,17,24,12,11,8,3,15,4,6,18,12,10,13,5,2001-02
1610612751,New Jersey Nets,82,49,33,0.598,48.2,35.4,80.3,0.441,4.2,12.7,0.332,20.3,26.8,0.757,12.1,30.8,42.9,23.0,14.8,8.7,4.6,5.2,21.6,0.1,95.4,5.2,1,8,8,8,26,17,18,14,23,22,22,5,5,15,14,12,10,7,16,5,21,19,14,16,14,4,2002-03
1610612759,San Antonio Spurs,82,60,22,0.732,48.4,35.5,76.8,0.462,5.5,15.5,0.354,19.4,26.8,0.725,11.5,31.2,42.6,20.0,15.8,7.7,6.5,5.1,20.4,0.0,95.8,5.4,1,1,1,1,14,16,27,4,11,11,11,10,6,26,21,6,11,22,23,17,1,18,5,22,12,3,2002-03
1610612765,Detroit Pistons,82,54,28,0.659,48.2,33.5,77.0,0.435,4.1,11.8,0.344,19.0,25.3,0.753,12.4,30.4,42.8,20.8,15.1,8.0,7.0,5.0,20.3,0.0,90.1,5.8,1,6,6,6,19,24,26,19,24,26,15,9,9,15,12,12,11,15,18,13,1,13,4,9,24,2,2003-04
1610612747,Los Angeles Lakers,82,56,26,0.683,48.4,36.9,81.4,0.454,4.5,13.6,0.327,19.9,28.7,0.693,12.2,30.9,43.1,23.8,13.8,8.3,4.6,3.8,21.1,0.1,98.2,3.9,1,4,4,4,7,4,7,4,22,20,25,5,1,28,15,7,6,4,5,10,21,2,14,4,3,7,2003-04
1610612765,Detroit Pistons,82,54,28,0.659,48.7,34.8,78.3,0.444,4.4,12.8,0.345,19.4,26.2,0.739,12.9,30.6,43.4,21.8,13.8,7.0,6.1,4.5,20.0,0.0,93.3,3.9,1,5,5,5,3,23,23,17,22,22,23,16,13,23,6,10,4,12,11,20,3,8,2,13,24,6,2004-05
1610612759,San Antonio Spurs,82,59,23,0.72,48.3,35.6,78.7,0.453,6.2,17.0,0.363,18.7,25.9,0.724,12.0,30.4,42.4,21.6,13.7,7.5,6.6,5.1,20.9,0.0,96.2,7.8,1,2,2,2,17,19,21,10,12,13,8,23,16,26,15,11,12,14,8,17,2,23,5,8,18,1,2004-05
1610612742,Dallas Mavericks,82,60,22,0.732,48.5,36.0,77.7,0.462,5.1,13.6,0.374,22.2,28.3,0.783,12.6,29.6,42.2,18.0,13.6,7.2,6.0,4.9,22.4,23.6,99.1,6.1,1,3,3,3,9,17,18,7,21,21,9,3,5,6,5,16,6,29,5,13,4,17,11,4,9,3,2005-06
1610612748,Miami Heat,82,52,30,0.634,48.2,37.1,77.5,0.478,6.1,17.6,0.345,19.7,28.2,0.7,10.5,32.6,43.1,20.6,14.5,6.4,5.4,3.6,22.8,23.6,99.9,3.9,1,5,5,5,28,4,19,2,12,12,20,18,8,29,21,2,1,17,16,29,8,3,15,4,6,5,2005-06
1610612739,Cleveland Cavaliers,82,50,32,0.61,48.5,36.3,81.2,0.447,6.0,17.1,0.352,18.1,26.0,0.696,12.7,30.8,43.5,20.8,14.4,7.6,4.3,4.3,21.7,22.0,96.8,3.8,1,7,7,7,8,15,9,24,15,14,18,25,15,29,1,6,2,15,7,8,20,10,11,16,19,7,2006-07
1610612759,San Antonio Spurs,82,58,24,0.707,48.2,36.6,77.2,0.474,7.3,19.0,0.381,18.1,24.1,0.751,9.3,31.4,40.7,22.1,13.9,7.2,5.1,4.1,19.4,21.2,98.5,8.4,1,3,3,3,22,12,27,3,6,7,3,24,24,17,28,4,16,11,4,15,10,8,1,24,14,1,2006-07
1610612738,Boston Celtics,82,66,16,0.805,48.2,36.4,76.7,0.475,7.3,19.1,0.381,20.5,26.5,0.771,10.1,31.9,42.0,22.4,15.2,8.5,4.6,4.7,22.7,22.2,100.5,10.3,1,1,1,1,22,20,30,4,8,12,5,8,9,8,23,9,12,8,27,5,18,16,26,8,11,1,2007-08
1610612747,Los Angeles Lakers,82,57,25,0.695,48.2,39.6,83.1,0.476,8.1,21.4,0.378,21.3,27.7,0.769,11.0,33.2,44.1,24.4,14.1,8.0,5.3,4.5,20.6,22.6,108.6,7.3,1,3,3,3,18,5,6,3,5,6,6,3,5,10,19,1,4,4,11,6,5,12,15,5,4,3,2007-08
1610612747,Los Angeles Lakers,82,65,17,0.793,48.2,40.3,85.1,0.474,6.7,18.5,0.361,19.6,25.5,0.77,12.4,31.5,43.9,23.3,13.5,8.8,5.1,4.8,20.7,22.1,106.9,7.7,1,2,2,2,21,2,4,4,17,15,19,11,8,14,3,6,1,2,11,2,10,14,17,8,3,2,2008-09
