TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,SEASON
1610612747,Los Angeles Lakers,82,56,26,0.683,3981.0,0.498,0.349,0.154,0.338,0.468,0.31,0.139,0.309,1,2,2,2,6,2,4,9,3,13,14,27,11,2000-01
1610612755,Philadelphia 76ers,82,56,26,0.683,3971.0,0.468,0.351,0.17,0.334,0.46,0.248,0.166,0.296,1,2,2,2,12,19,3,23,4,7,3,10,3,2000-01
1610612747,Los Angeles Lakers,82,58,24,0.707,3956.0,0.498,0.313,0.135,0.311,0.453,0.306,0.149,0.314,1,2,2,2,20,4,7,2,16,2,21,20,10,2001-02
1610612751,New Jersey Nets,82,52,30,0.634,3966.0,0.476,0.28,0.154,0.322,0.459,0.283,0.171,0.317,1,5,5,5,8,14,20,11,13,4,11,3,17,2001-02
1610612751,New Jersey Nets,82,49,33,0.598,3951.0,0.468,0.333,0.158,0.317,0.46,0.3,0.178,0.298,1,8,8,8,26,21,7,16,13,4,16,3,4,2002-03
1610612759,San Antonio Spurs,82,60,22,0.732,3966.0,0.497,0.348,0.171,0.311,0.453,0.259,0.163,0.313,1,1,1,1,14,4,2,24,16,2,2,12,16,2002-03
1610612765,Detroit Pistons,82,54,28,0.659,3956.0,0.461,0.328,0.168,0.332,0.441,0.271,0.178,0.314,1,6,6,6,19,20,6,20,8,2,3,5,15,2003-04
1610612747,Los Angeles Lakers,82,56,26,0.683,3971.0,0.481,0.352,0.146,0.313,0.471,0.296,0.162,0.299,1,4,4,4,7,7,2,5,15,15,15,15,7,2003-04
1610612765,Detroit Pistons,82,54,28,0.659,3991.0,0.472,0.335,0.154,0.34,0.461,0.276,0.154,0.307,1,5,5,5,3,23,11,14,4,5,3,18,8,2004-05
1610612759,San Antonio Spurs,82,59,23,0.72,3961.0,0.492,0.329,0.151,0.321,0.452,0.307,0.167,0.303,1,2,2,2,17,6,12,11,15,1,10,5,5,2004-05
1610612742,Dallas Mavericks,82,60,22,0.732,3976.0,0.495,0.364,0.15,0.347,0.475,0.342,0.156,0.31,1,3,3,3,9,10,5,11,2,8,19,14,18,2005-06
1610612748,Miami Heat,82,52,30,0.634,3951.0,0.517,0.363,0.156,0.297,0.477,0.34,0.14,0.274,1,5,5,5,28,2,6,16,19,10,17,29,2,2005-06
1610612739,Cleveland Cavaliers,82,50,32,0.61,3976.0,0.484,0.32,0.155,0.327,0.48,0.331,0.166,0.279,1,7,7,7,8,22,17,9,5,7,17,9,2,2006-07
1610612759,San Antonio Spurs,82,58,24,0.707,3956.0,0.521,0.313,0.153,0.279,0.471,0.272,0.158,0.285,1,3,3,3,22,2,20,7,26,2,2,20,6,2006-07
1610612738,Boston Celtics,82,66,16,0.805,3951.0,0.522,0.346,0.164,0.306,0.457,0.341,0.173,0.293,1,1,1,1,22,5,6,29,12,1,26,1,9,2007-08
1610612747,Los Angeles Lakers,82,57,25,0.695,3956.0,0.525,0.333,0.145,0.297,0.485,0.284,0.147,0.298,1,3,3,3,18,4,9,10,19,7,9,17,14,2007-08
1610612747,Los Angeles Lakers,82,65,17,0.793,3956.0,0.513,0.299,0.14,0.326,0.49,0.283,0.162,0.302,1,2,2,2,21,6,18,5,3,8,9,6,16,2008-09
1610612753,Orlando Magic,82,59,23,0.72,3946.0,0.52,0.351,0.149,0.273,0.465,0.277,0.14,0.283,1,4,4,4,27,3,3,16,29,1,6,25,3,2008-09
1610612738,Boston Celtics,82,50,32,0.61,3956.0,0.522,0.332,0.16,0.274,0.487,0.337,0.169,0.303,1,9,9,9,17,5,7,27,27,9,25,2,18,2009-10
1610612747,Los Angeles Lakers,82,57,25,0.695,3966.0,0.496,0.289,0.141,0.314,0.484,0.26,0.15,0.292,1,3,3,3,12,15,19,5,9,6,1,19,7,2009-10
1610612742,Dallas Mavericks,82,57,25,0.695,3941.0,0.525,0.286,0.151,0.278,0.488,0.275,0.147,0.287,1,4,4,4,29,3,21,16,25,9,4,19,7,2010-11
1610612748,Miami Heat,82,58,24,0.707,3956.0,0.524,0.363,0.151,0.287,0.475,0.299,0.143,0.285,1,3,3,3,20,4,3,15,20,3,14,25,5,2010-11
1610612748,Miami Heat,66,46,20,0.697,3208.0,0.505,0.307,0.163,0.299,0.479,0.277,0.18,0.307,1,4,4,4,6,6,5,21,21,8,17,3,13,2011-12
1610612760,Oklahoma City Thunder,66,47,19,0.712,3198.0,0.516,0.334,0.172,0.304,0.465,0.27,0.15,0.313,1,3,3,3,8,3,1,28,19,4,13,22,21,2011-12
1610612748,Miami Heat,82,66,16,0.805,3976.0,0.552,0.297,0.151,0.264,0.487,0.262,0.17,0.322,1,1,1,1,4,1,8,7,26,9,10,3,28,2012-13
1610612759,San Antonio Spurs,82,58,24,0.707,3976.0,0.531,0.258,0.153,0.243,0.48,0.235,0.155,0.285,1,3,3,3,4,2,21,9,30,5,2,15,1,2012-13
1610612748,Miami Heat,82,54,28,0.659,3976.0,0.554,0.3,0.159,0.244,0.511,0.283,0.18,0.314,1,5,5,5,7,1,9,22,29,20,13,1,27,2013-14
1610612759,San Antonio Spurs,82,62,20,0.756,3951.0,0.537,0.24,0.15,0.261,0.482,0.242,0.144,0.275,1,1,1,1,25,2,30,9,26,4,3,24,3,2013-14
1610612739,Cleveland Cavaliers,82,53,29,0.646,3956.0,0.52,0.287,0.152,0.311,0.502,0.238,0.142,0.289,1,7,7,7,23,4,10,19,6,19,1,22,15,2014-15
1610612744,Golden State Warriors,82,67,15,0.817,3946.0,0.54,0.239,0.145,0.273,0.47,0.284,0.163,0.297,1,1,1,1,26,1,26,11,24,1,20,7,18,2014-15
1610612739,Cleveland Cavaliers,82,57,25,0.695,3971.0,0.524,0.259,0.143,0.294,0.496,0.275,0.141,0.258,1,3,3,3,9,3,23,13,10,12,16,21,5,2015-16
1610612744,Golden State Warriors,82,73,9,0.89,3976.0,0.563,0.25,0.15,0.267,0.479,0.275,0.143,0.28,1,1,1,1,5,1,25,18,22,2,15,18,15,2015-16
1610612739,Cleveland Cavaliers,82,51,31,0.622,3976.0,0.547,0.275,0.14,0.264,0.516,0.226,0.129,0.278,1,5,5,5,4,2,15,11,21,18,3,29,14,2016-17
1610612744,Golden State Warriors,82,67,15,0.817,3956.0,0.563,0.259,0.146,0.272,0.486,0.261,0.154,0.291,1,1,1,1,18,1,20,20,17,1,11,5,27,2016-17
1610612739,Cleveland Cavaliers,82,50,32,0.61,3946.0,0.547,0.275,0.139,0.243,0.54,0.219,0.136,0.27,1,6,6,6,23,3,8,9,28,28,2,26,16,2017-18
1610612744,Golden State Warriors,82,58,24,0.707,3946.0,0.569,0.239,0.153,0.243,0.504,0.245,0.142,0.288,1,3,3,3,23,1,20,25,27,5,13,17,29,2017-18
1610612744,Golden State Warriors,82,57,25,0.695,3961.0,0.565,0.227,0.139,0.257,0.508,0.266,0.132,0.273,1,3,3,3,15,1,28,16,23,3,21,19,17,2018-19
1610612761,Toronto Raptors,82,58,24,0.707,3976.0,0.543,0.247,0.138,0.265,0.509,0.249,0.147,0.274,1,2,2,2,4,3,21,14,19,4,12,9,18,2018-19
1610612747,Los Angeles Lakers,71,52,19,0.732,3418.0,0.542,0.276,0.149,0.283,0.515,0.263,0.157,0.263,21,3,2,3,22,5,6,23,6,7,16,3,11,2019-20
1610612748,Miami Heat,73,44,29,0.603,3549.0,0.547,0.299,0.149,0.257,0.523,0.272,0.14,0.247,3,8,11,11,3,3,1,22,23,11,19,19,3,2019-20
1610612749,Milwaukee Bucks,72,46,26,0.639,3466.0,0.566,0.233,0.134,0.269,0.536,0.202,0.127,0.245,1,7,7,7,22,2,24,13,13,13,1,25,4,2020-21
1610612756,Phoenix Suns,72,51,21,0.708,3496.0,0.564,0.212,0.126,0.248,0.534,0.25,0.137,0.259,1,2,2,2,1,3,29,4,25,10,15,16,11,2020-21
1610612738,Boston Celtics,82,51,31,0.622,3981.0,0.542,0.239,0.139,0.277,0.502,0.234,0.14,0.275,1,6,6,6,2,9,22,13,11,1,9,11,16,2021-22
1610612744,Golden State Warriors,82,53,29,0.646,3946.0,0.552,0.235,0.15,0.269,0.509,0.265,0.147,0.264,1,3,3,3,24,3,23,29,15,2,26,7,6,2021-22
1610612743,Denver Nuggets,82,53,29,0.646,3951.0,0.573,0.259,0.147,0.289,0.543,0.26,0.136,0.273,1,4,4,4,25,1,20,23,12,15,10,18,11,2022-23
1610612748,Miami Heat,82,44,38,0.537,3961.0,0.53,0.27,0.138,0.274,0.561,0.253,0.161,0.267,1,11,11,11,18,25,13,13,18,25,7,3,4,2022-23
1610612738,Boston Celtics,82,64,18,0.78,3966.0,0.578,0.224,0.121,0.287,0.523,0.189,0.122,0.274,1,1,1,1,7,2,25,1,14,2,1,29,7,2023-24
1610612742,Dallas Mavericks,82,50,32,0.61,3941.0,0.562,0.251,0.124,0.257,0.548,0.239,0.137,0.289,1,6,6,6,26,7,13,4,25,17,13,17,21,2023-24
