TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,SEASON
1610612747,Los Angeles Lakers,82,56,26,0.683,48.5,14.9,15.3,9.7,44.3,16.0,13.5,12.8,37.9,1,2,2,2,6,25,3,28,2,13,15,12,17,2000-01
1610612755,Philadelphia 76ers,82,56,26,0.683,48.4,17.7,14.6,16.1,41.8,16.2,12.6,13.5,36.6,1,2,2,2,12,5,6,3,6,18,6,19,11,2000-01
1610612747,Los Angeles Lakers,82,58,24,0.707,48.2,15.5,14.9,10.7,43.6,13.7,14.6,10.7,37.0,1,2,2,2,20,16,6,24,2,1,22,2,11,2001-02
1610612751,New Jersey Nets,82,52,30,0.634,48.4,17.4,14.0,17.4,42.7,14.6,13.0,10.8,35.3,1,5,5,5,8,4,14,1,6,4,5,3,5,2001-02
1610612751,New Jersey Nets,82,49,33,0.598,48.2,18.3,13.8,18.7,41.3,15.6,12.3,10.9,34.2,1,8,8,8,26,2,11,1,8,11,4,7,3,2002-03
1610612759,San Antonio Spurs,82,60,22,0.732,48.4,16.3,12.7,11.8,43.5,16.7,14.0,12.2,37.5,1,1,1,1,14,14,24,17,3,20,18,15,11,2002-03
1610612765,Detroit Pistons,82,54,28,0.659,48.2,16.6,12.4,12.3,38.7,14.6,12.7,10.3,33.7,1,6,6,6,19,12,21,13,13,6,8,3,5,2003-04
1610612747,Los Angeles Lakers,82,56,26,0.683,48.4,16.6,13.9,11.3,44.0,14.5,13.1,11.0,37.7,1,4,4,4,7,13,11,18,3,4,9,8,14,2003-04
1610612765,Detroit Pistons,82,54,28,0.659,48.7,15.6,14.1,12.6,36.4,14.5,12.1,12.3,35.0,1,5,5,5,3,19,10,12,24,2,2,15,6,2004-05
1610612759,San Antonio Spurs,82,59,23,0.72,48.3,16.2,12.8,12.8,42.2,14.6,12.3,10.9,37.2,1,2,2,2,17,15,23,10,7,3,4,5,11,2004-05
